station,poll
STA_PL0507A,0.356407981
STA_PL0509A,0.536378761
STA_PL0526A,0.499775671
STA_PL0539A,0.424647847
STA_PL0543A,0.490944732
STA_PL0544A,0.547271366
STA_PL0552A,0.330020596
STA_PL0558A,0.53019971
STA_PL0559A,0.564738322
STA_PL0560A,0.530906477
STA_PL0561A,0.378714012
STA_PL0567A,0.48891825
STA_PL0575A,0.44578888
STA_PL0580A,0.595912797
STA_PL0585A,0.373864008
STA_PL0591A,0.35130732
STA_PL0635A,0.541132186
STA_PL0647A,0.642224058
STA_PL0673A,0.404291207
STA_PL0675A,0.420767019
STA_PL0682A,0.361558709
STA_PL0684A,0.456780925
STA_PL0686A,0.342170914
STA_PL0687A,0.449543231
STA_PL0688A,0.341105176
STA_PL0697A,0.425887174
STA_PL0700A,0.342573549
STA_PL0705A,0.504760635
STA-PT01028,0.293116295
STA-PT01030,0.497849091
STA-PT02017,0.202908533
STA-PT03071,0.280077241
STA-PT03072,0.282021968
STA-PT03075,0.284384588
STA-PT03082,0.417226866
STA-PT03083,0.281106859
STA-PT03093,0.206504155
STA-PT03094,0.230589923
STA-PT03097,0.729
STA-PT03100,0.367713536
STA-PT04002,0.14877029
STA-PT05011,0.219214629
STA-PT06004,0.211723797
STA-RO0008R,0.100924035
STA-RO0009R,0.054464555
STA-RO0065A,0.625578249
STA-RO0066A,0.60022972
STA-RO0067A,0.61518088
STA-RO0069A,0.718488183
STA-RO0070A,0.69714303
STA-RO0073A,0.24566382
STA-RO0075A,0.181065954
STA-RO0077A,0.308355675
STA-RO0078A,0.424011781
STA-RO0079A,0.21059008
STA-RO0082A,0.175396514
STA-RO0083A,0.244025434
STA-RO0086A,0.054632344
STA-RO0087A,0.126561184
STA-RO0092A,0.188481714
STA-RO0093A,0.39764277
STA-RO0094A,0.183502338
STA-RO0095A,0.142996277
STA-RO0096A,0.164212776
STA-RO0097A,0.377867829
STA-RO0098A,0.397462509
STA-RO0099A,0.299046685
STA-RO0100A,0.219008708
STA-RO0101A,0.199432442
STA-RO0102A,0.445530564
STA-RO0103A,0.606907625
STA-RO0104A,0.179131056
STA-RO0105A,0.088020985
STA-RO0106A,0.214361727
STA-RO0107A,0.186220078
STA-RO0108A,0.912195003
STA-RO0109A,0.215146458
STA-RO0110A,0.58148711
STA-RO0111A,0.703067977
STA-RO0112A,0.172270408
STA-RO0113A,0.140478282
STA-RO0114A,0.090232951
STA-RO0115A,0.100027401
STA-RO0116A,0.085602395
STA-RO0117A,0.070899786
STA-RO0118A,0.172191748
STA-RO0119A,0.255971657
STA-RO0120A,0.186917895
STA-RO0121A,0.156026253
STA-RO0122A,0.187861688
STA-RO0123A,0.295362986
STA-RO0124A,0.726154685
STA-RO0125A,0.394641642
STA-RO0126A,0.534342105
STA-RO0127A,0.383275634
STA-RO0128A,0.205834708
STA-RO0130A,0.685913161
STA-RO0131A,0.204015485
STA-RO0132A,0.129937689
STA-RO0133A,0.08352439
STA-RO0134A,0.191977039
STA-RO0135A,0.078260324
STA-RO0136A,0.109892724
STA-RO0137A,0.086507008
STA-RO0138A,0.134207951
STA-RO0139A,0.124672427
STA-RO0140A,0.248222749
STA-RO0141A,0.089605688
STA-RO0142A,0.101133574
STA-RO0143A,0.147938639
STA-RO0144A,0.082706009
STA-RO0145A,0.138482249
STA-RO0150A,0.357218566
STA-RO0151A,0.33842067
STA-RO0152A,0.677991245
STA-RO0153A,0.237885074
STA-RO0154A,0.217484427
STA-RO0155A,0.15027491
STA-RO0157A,0.176924374
STA-RO0158A,0.503104575
STA-RO0159A,0.115363792
STA-RO0160A,0.170224482
